,,FWC1,FWC2,,FWC4,FWC5,,,,,,,,,,,,,,
,,,MEX3,MEX4,MEX5,,MEX7,,MEX9,,MEX11,MEX12,MEX13,MEX14,MEX15,MEX16,MEX17,MEX18,MEX19,MEX20
,RSA1,,RSA3,,,RSA6,,RSA8,RSA9,RSA10,RSA11,RSA12,,RSA14,RSA15,,RSA17,RSA18,RSA19,RSA20
,KOR1,KOR2,KOR3,,KOR5,KOR6,,KOR8,KOR9,KOR10,KOR11,KOR12,,KOR14,KOR15,KOR16,KOR17,KOR18,KOR19,KOR20
,CZE1,,CZE3,,,CZE6,CZE7,CZE8,,CZE10,CZE11,,,,CZE15,CZE16,,CZE18,CZE19,
,CAN1,CAN2,CAN3,CAN4,CAN5,CAN6,CAN7,CAN8,CAN9,CAN10,CAN11,CAN12,CAN13,CAN14,CAN15,,CAN17,CAN18,CAN19,CAN20
,BIH1,,BIH3,BIH4,BIH5,BIH6,BIH7,,,BIH10,BIH11,,,,BIH15,BIH16,,BIH18,,
,QAT1,QAT2,QAT3,QAT4,QAT5,QAT6,QAT7,,QAT9,QAT10,QAT11,QAT12,QAT13,QAT14,QAT15,QAT16,,QAT18,QAT19,
,SUI1,SUI2,SUI3,SUI4,,SUI6,SUI7,SUI8,SUI9,,,,,,,,SUI17,SUI18,SUI19,SUI20
,BRA1,BRA2,,BRA4,BRA5,BRA6,,,BRA9,BRA10,BRA11,BRA12,BRA13,BRA14,BRA15,BRA16,BRA17,BRA18,BRA19,BRA20
,,MAR2,MAR3,,MAR5,MAR6,MAR7,,MAR9,MAR10,MAR11,MAR12,MAR13,MAR14,MAR15,MAR16,,MAR18,MAR19,MAR20
,HAI1,HAI2,HAI3,HAI4,HAI5,HAI6,HAI7,HAI8,HAI9,,HAI11,,HAI13,,HAI15,HAI16,,HAI18,HAI19,HAI20
,SC01,SC02,SC03,SC04,,SC06,SC07,SC08,SC09,SC10,SC11,SC12,,,SC15,SC16,SC17,SC18,SC19,SC20
,,USA2,USA3,USA4,,USA6,,USA8,USA9,USA10,,USA12,,USA14,,,,USA18,USA19,USA20
,PAR1,PAR2,PAR3,PAR4,PAR5,PAR6,PAR7,PAR8,PAR9,PAR10,PAR11,PAR12,,PAR14,PAR15,PAR16,,PAR18,PAR19,PAR20
,,AUS2,AUS3,AUS4,AUS5,AUS6,AUS7,AUS8,AUS9,AUS10,AUS11,AUS12,,AUS14,,AUS16,AUS17,AUS18,AUS19,AUS20
,TUR1,,,,TUR5,,,TUR8,TUR9,TUR10,,,TUR13,TUR14,TUR15,,,TUR18,,TUR20
,GER1,GER2,GER3,GER4,GER5,,,GER8,GER9,GER10,GER11,GER12,,,GER15,GER16,GER17,GER18,GER19,GER20
